,name,o-grade,abv-comment,location
0,silence,40,<no comment>,"Norway, Flatanger"
1,zvaainec,10,quite a bit harder than other 9b+,"Czechia, MoravskA 1/2  kras"
2,vasil vasil,23,hard,"Czechia, Sloup"
3,la dura dura,37,x,"Spain, Lleida, Oliana"
4,change,20,x,"Norway, Flatanger"
5,el maquinista,2,amazing,"Spain, Montanejos"
6,b je to!,2,hard,"Croatia, VranjaAa"
7,wonderland,3,hard,"Italy, Arco, Terra Promessa"
8,bomba,3,bouldery,"Italy, Arco, Bus de la Stria"
9,the lonely mountain,1,hard,"Italy, Arco, Eremo di San Paolo"
10,taurus,3,hard,"Czechia, MoravskA 1/2  kras"
11,erebor,3,amazing,"Italy, Arco, Eremo di San Paolo"
12,neanderthal,3,x,"Spain, Lleida, Santa Linya"
13,disbelief,8,easy,"Canada, Calgary, Acephale"
14,eagle-4,9,x,"France, Saint LA(c)ger, Praniania"
15,one slap,3,amazing,"Italy, Arco, Laghel"
16,move hard,3,hard,"Norway, Flatanger"
17,queen line,4,hard,"Italy, Arco, Laghel"
18,mamichula,3,hard,"Spain, Lleida, Oliana"
19,robin ad,1,hard,"Slovakia, Alternativna stena"
20,stoking the fire,2,hard,"Spain, Lleida, Santa Linya"
21,c.r.s.,3,nice,"France, Mont Ventoux, Mollans"
22,first round first minute,3,nice,"Spain, Margalef, El Laboratori / Totxo d'en Fredi"
23,move,14,hard,"Norway, Flatanger"
24,iron curtain,6,x,"Norway, Flatanger"
25,fight or flight,3,perfect,"Spain, Lleida, Oliana"
26,la planta de shiva,7,hard,"Spain, Malaga, Villanueva del Rosario"
27,chaxiraxi,8,hard,"Spain, Lleida, Oliana"
28,golpe de estado,1,hard,"Spain, Siurana, El Pati"
29,to be named,2,hard,"Switzerland, Isenfluh"
30,fantazija,1,hard,"Slovenia, Ter"
31,a je to!,2,hard,"Croatia, VranjaAa"
32,bombardino,4,strange,"Italy, Arco, Bus de la Stria"
33,trofeo dell'adriatico,1,hard,"Italy, Arco, Bus de la Stria"
34,furia de jabali,9,hard,"Spain, Siurana, La Capella"
35,kout pikle,2,hard,"Czechia, MoravskA 1/2  kras"
36,molekuly,2,x,"Czechia, MoravskA 1/2  kras"
37,bohemian rhapsody,2,hard,"Czechia, RoviA!tA"
38,qui,10,hard,"Austria, Kufstein, Geisterschmiedwand"
39,catxasa,2,x,"Spain, Lleida, Santa Linya"
40,czech trip,2,hard,"North Macedonia, Mavrovo"
41,high line,2,amazing,"Bosnia & Herzegovina, Kanjon Tijesno"
42,sacrifice,2,hard,"Canada, Echo Canyon"
43,stone butterfly,2,hard,"Romania, Herculane"
44,supercrackinette,2,x,"France, Saint LA(c)ger, Praniania"
45,la castagne,2,hard,"France, Saint LA(c)ger, Unknown Crag"
46,meiose,2,nice,"Switzerland, Fribourg, Charmey"
47,one punch,2,hard,"Italy, Arco, Unknown Crag"
48,thor's hammer 2,2,hard,"Norway, Flatanger"
49,naturalmente,3,x,"Italy, Camaiore"
50,lapsus,2,amazing,"Italy, Andonno"
51,ultimatum,2,x,"Italy, Arco, Massone"
52,pachamama,4,x,"Spain, Lleida, Oliana"
53,hyper finale,2,x,"Switzerland, Valais Central, Rawyl"
54,120 degrees,2,x,"Norway, Flatanger"
55,vicious circle,2,bouldery,"Slovenia, Osp/Misja Pec, MiA!ja PeA"
56,preda!tor,2,hard,"Czechia, Srbsko"
57,modified,2,x,"Germany, Frankenjura, Holzgauer Wand"
58,three degrees of separation,2,x,"France, CA(c)A 1/4 se, Biographie"
59,biographie,3,hard,"France, CA(c)A 1/4 se, Biographie"
60,ia+-i ameriketan,2,hard,"Spain, Bilbao, Baltzola"
61,hell racer,4,x,"Norway, Trondheim, Hell"
62,kangaroo's limb,2,x,"Norway, Flatanger"
63,torture physique integrale,2,hard,"Switzerland, Fribourg, Wandfluh - Gastlosen"
64,power inverter,2,x,"Spain, Lleida, Oliana"
65,change p1,2,x,"Norway, Flatanger"
66,jungle boogie,2,awesome,"France, CA(c)A 1/4 se, Berlin"
67,perlorodka,2,x,"Czechia, Holstejn, Mor.kras"
68,overshadow,3,easy,"United Kingdom, Malham"
69,chilam balam,3,hard,"Spain, Malaga, Villanueva del Rosario"
70,chaxi,2,x,"Spain, Lleida, Oliana"
71,obrint el sistema,2,x,"Spain, Lleida, Santa Ana"
72,la capella,7,bouldery,"Spain, Siurana, La Capella"
73,l'a(c)trange ivresse des lenteurs,2,x,"France, CA(c)A 1/4 se, Biographie"
74,marina superstar,4,hard,"Italy, Sardinia, Domusnovas"
75,corona,2,x,"Germany, Frankenjura, Schneiderloch"
